"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","CTNAME"
"Average",329.816326530612,1333.44530977485,873.038521562377,1766.62239883144,216.62478299744,-1003.62898324423,-1436.80607230083,-543.222195031764,216.62478299744,-0.752658527415495,-1.07751406208286,-0.407382433347407,0.162454943903187,0.05,0.000889679715302491,40010
"Cumulative",16161,65338.8201789675,42778.8875565565,86564.4975427407,10614.6143668746,-49177.8201789675,-70403.4975427407,-26617.8875565565,10614.6143668746,-0.752658527415495,-1.07751406208286,-0.407382433347407,0.162454943903187,0.05,0.000889679715302491,40010
"Average1",859.795918367347,2764.87128221288,2227.76166382258,3287.1297410869,270.916518653486,-1905.07536384553,-2427.33382271956,-1367.96574545523,270.916518653486,-0.689028590987713,-0.877919286273908,-0.494766521051342,0.097985219202196,0.05,0.00112359550561798,40020
"Cumulative1",42130,135478.692828431,109160.321527306,161069.357313258,13274.9094140208,-93348.6928284311,-118939.357313258,-67030.3215273062,13274.9094140208,-0.689028590987713,-0.877919286273908,-0.494766521051342,0.097985219202196,0.05,0.00112359550561798,40020
"Average2",527.408163265306,1049.47052334561,796.302906096278,1297.03096968804,123.454234076199,-522.062360080308,-769.622806422731,-268.894742830972,123.454234076199,-0.497453095124599,-0.733343899902253,-0.256219433370802,0.117634779948501,0.05,0.000798084596967279,40030
"Cumulative2",25843,51424.0556439351,39018.8423987176,63554.5175147139,6049.25746973376,-25581.0556439351,-37711.5175147138,-13175.8423987176,6049.25746973376,-0.497453095124599,-0.733343899902253,-0.256219433370802,0.117634779948501,0.05,0.000798084596967279,40030
"Average3",516.836734693878,5729.95768021324,3997.54820896677,7316.61162808014,819.732665290693,-5213.12094551936,-6799.77489338627,-3480.7114742729,819.732665290693,-0.909800950803071,-1.18670595367001,-0.60745849594885,0.143060858568189,0.05,0.000862068965517241,40040
"Cumulative3",25325,280767.926330449,195879.862239372,358513.969775927,40166.9005992439,-255442.926330449,-333188.969775927,-170554.862239372,40166.9005992439,-0.909800950803071,-1.18670595367001,-0.60745849594885,0.143060858568189,0.05,0.000862068965517241,40040
"Average4",923.816326530612,2719.84335810942,1991.45014597081,3389.70766004222,350.746540606239,-1796.02703157881,-2465.89133351161,-1067.6338194402,350.746540606239,-0.6603420841218,-0.906629907990608,-0.392535039290761,0.12895836062046,0.05,0.000825763831544178,40050
"Cumulative4",45267,133272.324547362,97581.0571525696,166095.675342069,17186.5804897057,-88005.3245473617,-120828.675342069,-52314.0571525697,17186.5804897057,-0.6603420841218,-0.906629907990607,-0.392535039290761,0.12895836062046,0.05,0.000825763831544178,40050
"Average5",860.795918367347,3745.03016913225,2317.50895227596,5126.29293016237,690.503576536136,-2884.23425076491,-4265.49701179502,-1456.71303390862,690.503576536136,-0.770149804008976,-1.13897534042653,-0.388972309466373,0.184378641920561,0.05,0.000879507475813544,40060
"Cumulative5",42179,183506.47828748,113557.938661522,251188.353577956,33834.6752502707,-141327.47828748,-209009.353577956,-71378.9386615222,33834.6752502707,-0.770149804008976,-1.13897534042653,-0.388972309466373,0.184378641920562,0.05,0.000879507475813544,40060
